Voltage,Current
-4.22E-05,0.06864324
0.005307913,0.06884673
0.010706376582,0.06876733
0.0160841466,0.06885376
0.021461964,0.068895538
0.026840164,0.068954638
0.032218076,0.06900348
0.037588836,0.068987038
0.042967034,0.068977114
0.048345136,0.068983458
0.053721666,0.069012924
0.059097624,0.069023648
0.064473582,0.069057474
0.069850112,0.06886917
0.075225928,0.068808058
0.080603744,0.068721942
0.085979368,0.068681934
0.091358714,0.067778978
0.096736156,0.06804604
0.102114978,0.068153482
0.107479244,0.068208848
0.1128595,0.068185902
0.11823664,0.069003238
0.12361436,0.06881473
0.12898874,0.06863384
0.1343606,0.06852963
0.13972888,0.068488314
0.14509374,0.068472984
0.15044194,0.068470716
0.15580336,0.06847045
0.1611643,0.068481662
0.16652556,0.068498534
0.17188696,0.068527514
0.17724808,0.068567484
0.18260906,0.068602574
0.18797004,0.06862393
0.19332926,0.068612828
0.19868882,0.06858003
0.2040553,0.068495556
0.20941518,0.068418218
0.21477502,0.068273892
0.22012952,0.068121682
0.22549022,0.06798579
0.23085102,0.067894798
0.23621192,0.06779458
0.24157992,0.067744314
0.24694076,0.067710364
0.25230194,0.067656792
0.25766296,0.06757277
0.26302408,0.067446142
0.26838912,0.067241862
0.27375794,0.06696093
0.27913012,0.066647782
0.2845055,0.066345414
0.28987708,0.066090894
0.29525514,0.065912518
0.3006331,0.06576717
0.30601784,0.065601576
0.31139596,0.06536969
0.31677416,0.065064904
0.32215222,0.064704994
0.32752998,0.064340508
0.33289402,0.063993784
0.33827064,0.063701304
0.34364698,0.063438356
0.34902332,0.063203756
0.3543998,0.062958128
0.35977622,0.062697728
0.36515418,0.062373968
0.37053208,0.0619462
0.37591036,0.061389364
0.38128904,0.060733842
0.3866673,0.060025422
0.3920456,0.05933604
0.39742394,0.058749616
0.40278812,0.05822598
0.40816408,0.05773382
0.41353722,0.057187234
0.41890688,0.05654447
0.42427336,0.055764764
0.4296364,0.054917874
0.43499852,0.054019028
0.44036032,0.053098386
0.44572212,0.052121462
0.45108434,0.051078708
0.45644614,0.049937256
0.46180804,0.04856467
0.46716988,0.047195534
0.47252494,0.045810508
0.47788492,0.044392628
0.48325248,0.042901374
0.4886126,0.041394828
0.49397296,0.039474202
0.49933342,0.037335906
0.50469546,0.035031844
0.51005758,0.03258285
0.51541318,0.029968088
0.52077526,0.027532828
0.52613672,0.024946188
0.5314988,0.022131284
0.53686066,0.019085182
0.54222212,0.0158865816
0.54759432,0.012344623
0.5529636,0.008643899
0.55833584,0.004836911
0.56371126,0.0008833348
0.5690903,-0.0032177768
0.57446906,-0.0074819502
0.5798476,-0.0118781142
0.58521954,-0.0164046802
0.59059854,-0.020795774
0.59597632,-0.025236438
0.60135546,-0.030053012
0.60673358,-0.034886294
0.61211196,-0.040193992
0.61748874,-0.045928808
0.62286694,-0.051894784
0.6282444,-0.057713918
0.6336226,-0.063769692
0.63900036,-0.069609848
0.64437956,-0.075520948
0.64975876,-0.081478312
0.65512386,-0.08752231
0.66024708,-0.093438598
0.6642998,-0.098173946
0.66726874,-0.101675952
0.6691585,-0.103958704
0.66997802,-0.10499398
0.66996948,-0.1049948
0.66996364,-0.1049948
0.6699578,-0.1049948
0.6699605,-0.1049948
0.6699356,-0.1049948
0.66989326,-0.1049948
0.66983282,-0.1049948
0.66975784,-0.1049948
0.6696675,-0.1049948
0.6695916,-0.1049948
0.66952266,-0.1049948
0.66946614,-0.1049948
0.66942176,-0.1049948
0.66938594,-0.1049948
0.66935682,-0.1049948
0.66932566,-0.1049948
0.66928744,-0.1049948
0.66925162,-0.1049948
0.66921042,-0.1049948
0.66925138,-0.1049948
0.6691291,-0.1049948
0.6695076,-0.1049948
