Voltage,Current
-0.000910893,0.542823,
1.11418,0.535625,
2.61738,0.536585,
4.06514,0.538446,
5.51290,0.538499,
7.01611,0.529506,
8.47003,0.529559,
9.91163,0.531420,
11.4148,0.522428,
12.9242,0.505293,
14.3659,0.480918,
15.8815,0.438452,
17.2677,0.376077,
18.7157,0.252185,
20.0529,0.0658644,
20.2809,0.000733930,
